"accl_x_value","accl_y_value","accl_z_value","gyro_x_value","gyro_y_value","gyro_z_value","mag_x_value","mag_y_value","mag_z_value","action_class"
"0.901878","0.760242","8.84895","0.581005","-0.131903","0.0884342","-5.4451","-10.2251","-33.8358","1"
"-3.0872","-0.848396","10.9491","-1.30457","0.175064","-1.83468","6.13556","15.1138","-41.3612","0"
"6.63822","-2.08328","4.06788","0.225178","-0.0745109","0.0112","-7.73163","-13.2871","-35.8959","1"
"-1.54745","-0.566063","8.56281","-0.182709","0.190079","-0.383522","1.77002","19.1589","-40.5052","0"
"2.50768","-2.07129","4.15289","0.688787","-0.210114","0.352163","-10.3244","-19.7741","-31.8942","1"
"-2.3386","-1.5928","9.95183","-1.82191","0.599228","-2.30241","3.45535","14.9345","-41.4619","0"
"3.05334","-0.572226","6.5489","0.614155","-0.0906503","0.306503","-8.41675","-14.1294","-33.8189","1"
"-2.81117","-1.58932","9.51639","-1.47722","0.705109","-1.6702","3.9444","17.0425","-40.9103","0"
"1.94806","0.620941","9.38721","0.725885","-0.229721","0.339011","-8.8695","-12.5691","-33.6319","1"
"-5.03252","-1.57414","10.1468","-1.13077","0.506002","-1.58302","8.50576","16.8157","-40.0711","0"
"4.01768","-0.466248","4.10536","0.98052","-0.141459","0.418966","-11.7833","-19.1841","-30.1519","1"
"-3.01349","-1.7258","10.2303","-2.14833","0.772018","-1.88152","8.84628","16.5695","-40.023","0"
"3.0911","1.27536","8.33973","0.380613","-0.0897369","-0.0901108","-3.86162","-9.99012","-34.7069","1"
"-4.05968","-1.46144","8.56336","-0.53344","0.473999","-0.760323","9.55963","20.1668","-38.913","0"
"1.66091","0.478232","5.84297","0.59436","-0.172819","0.366573","-7.78133","-15.6828","-31.679","1"
"-3.26553","-0.23436","9.31306","-1.36012","0.763306","-1.53011","10.4057","13.6551","-41.2613","0"
"4.09127","-0.998648","0.58094","0.345259","-0.261276","0.114925","-7.74231","-12.426","-33.1881","1"
"-2.58705","-2.12197","11.0936","-1.52151","0.245094","-1.30505","-0.727081","17.1524","-40.4198","0"
"3.56493","0.976953","7.79286","0.633737","0.0443595","0.238035","-11.5956","-12.2561","-31.2435","1"
"-4.46704","-1.79951","10.6366","-1.22959","0.350471","-1.53432","8.40454","17.7101","-39.6728","0"
"2.22862","2.11603","7.82507","0.679541","-0.0667594","0.361546","-9.01206","-12.9466","-33.1791","1"
"-3.80403","-2.4243","10.3852","-1.89399","0.495659","-2.49879","2.12708","16.6222","-40.6425","0"
"5.84033","-0.771393","2.79922","0.838566","-0.158231","0.609416","-10.4488","-11.5965","-36.669","1"
"-3.01158","-0.860298","10.7744","-0.86853","0.414448","-1.03059","5.30663","14.3539","-42.8429","0"
"4.65515","0.558434","2.45866","0.930923","-0.146111","0.455523","-9.8086","-19.2401","-33.0541","1"
"-5.25092","-0.287056","10.1071","-1.9413","1.17097","-2.58312","14.1808","8.05359","-41.0088","0"
