"accl_x_value","accl_y_value","accl_z_value","gyro_x_value","gyro_y_value","gyro_z_value","mag_x_value","mag_y_value","mag_z_value","action_class"
"6.05396","0.698212","9.67186","2.23398","1.0179","0.193893","-25.9811","-28.6133","-25.2213","1"
"11.5896","-2.22729","-5.98315","-2.82602","0.158203","-2.62505","-17.8574","-25.9064","-32.457","1"
"-3.65572","-0.795181","12.0316","-3.24603","0.349579","-3.6597","-1.11694","-2.92358","-45.3384","1"
"-1.51396","1.25291","9.75682","-1.34457","0.100327","-1.40884","-5.74646","14.9887","-43.6584","0"
"-0.908997","0.0398407","9.69687","0.251312","0.538651","0.0881653","-0.837708","15.7181","-43.3395","0"
"-2.03783","0.209473","8.53662","0.236374","0.1698","0.388626","1.81885","13.4644","-44.5282","1"
"-4.47261","4.35101","12.4142","0.227234","-0.197113","0.634827","1.84479","12.056","-44.8273","1"
"0.774048","-4.36597","13.968","3.34979","-1.70705","3.11798","-4.85229","-3.80402","-44.3619","1"
"13.3867","-3.6395","-11.1851","3.44772","0.342865","2.13693","-21.0312","-30.5344","-26.445","1"
"10.8295","-3.94646","-6.43161","-2.43761","-1.38957","0.0428467","-26.7624","-22.76","-30.1331","1"
"10.4833","-1.10745","4.66138","3.0031","1.40791","0.12442","-26.0635","-27.8015","-24.6918","1"
"9.49587","-1.39842","5.87505","-2.26758","0.014389","-2.08937","-16.6244","-30.1346","-28.5843","1"
"-3.46684","1.54958","15.4106","-3.71245","0.781418","-3.92836","-0.0900269","-3.60718","-44.4519","0"
"-2.14685","0.153946","9.04393","-1.25151","0.484787","-1.98474","1.15814","14.9643","-43.1976","0"
"-1.49892","1.43683","9.25304","0.212448","0.182953","-0.323151","1.05743","15.8844","-42.6346","1"
"-5.1391","3.45497","12.9066","0.669952","-0.428177","0.809998","-0.1297","12.059","-44.2383","1"
"-4.13109","4.32224","13.0722","1.12091","-0.203827","1.4581","-0.764465","4.93774","-45.2667","1"
"12.8506","-4.11348","-12.096","4.39934","-1.40508","4.13304","-12.6495","-16.4734","-38.0554","1"
"5.26578","8.68919","16.9472","0.611481","0.664749","0.619095","-22.8607","-30.455","-24.9557","1"
"13.5123","-0.115875","-7.15627","-0.509216","-0.767563","-0.282318","-24.5422","-24.733","-29.3442","1"
"13.2611","-1.49348","-10.1617","0.863388","1.69675","-0.341126","-18.2129","-31.076","-25.882","1"
"-3.40924","-3.16565","11.5112","-3.53871","-0.0551147","-4.13034","-1.69067","-16.3651","-40.1901","1"
"-7.41434","-4.35701","10.3229","-2.32213","-0.222412","-2.65588","1.38855","9.43756","-44.0445","0"
